[cpu] Reset: PC=$8000 (vec=$8000)
[cpu] Reset: PC=$0000 (vec=$0000)
[cpu] Reset: PC=$0000 (vec=$0000)
[console] Loaded: tests/test_roms/nestest/nestest.nes | mapper=0 | PRG=16384 bytes | CHR=8192 bytes
[cpu] Reset: PC=$C004 (vec=$C004)
[console] ResetVector=$C004  FirstOpcode=$78
TRACE PC=C004 OPC=78 A=00 X=00 Y=00 P=24 S=FD
RUN i=0  PC=C005 A=00 X=00 Y=00 P=24
TRACE PC=C038 OPC=D0 A=00 X=DC Y=0F P=A4 S=FF
TRACE PC=C037 OPC=CA A=00 X=B2 Y=0F P=A4 S=FF
TRACE PC=C034 OPC=8D A=00 X=87 Y=0F P=A4 S=FF
TRACE PC=C038 OPC=D0 A=00 X=5C Y=0F P=24 S=FF
TRACE PC=C037 OPC=CA A=00 X=32 Y=0F P=24 S=FF
TRACE PC=C034 OPC=8D A=00 X=07 Y=0F P=24 S=FF
TRACE PC=C034 OPC=8D A=00 X=DD Y=0E P=A4 S=FF
TRACE PC=C038 OPC=D0 A=00 X=B2 Y=0E P=A4 S=FF
TRACE PC=C037 OPC=CA A=00 X=88 Y=0E P=A4 S=FF
TRACE PC=C034 OPC=8D A=00 X=5D Y=0E P=24 S=FF
TRACE PC=C038 OPC=D0 A=00 X=32 Y=0E P=24 S=FF
TRACE PC=C037 OPC=CA A=00 X=08 Y=0E P=24 S=FF
TRACE PC=C037 OPC=CA A=00 X=DE Y=0D P=A4 S=FF
TRACE PC=C034 OPC=8D A=00 X=B3 Y=0D P=A4 S=FF
TRACE PC=C038 OPC=D0 A=00 X=88 Y=0D P=A4 S=FF
TRACE PC=C037 OPC=CA A=00 X=5E Y=0D P=24 S=FF
TRACE PC=C034 OPC=8D A=00 X=33 Y=0D P=24 S=FF
TRACE PC=C038 OPC=D0 A=00 X=08 Y=0D P=24 S=FF
TRACE PC=C038 OPC=D0 A=00 X=DE Y=0C P=A4 S=FF
TRACE PC=C037 OPC=CA A=00 X=B4 Y=0C P=A4 S=FF
TRACE PC=C034 OPC=8D A=00 X=89 Y=0C P=A4 S=FF
TRACE PC=C038 OPC=D0 A=00 X=5E Y=0C P=24 S=FF
TRACE PC=C037 OPC=CA A=00 X=34 Y=0C P=24 S=FF
TRACE PC=C034 OPC=8D A=00 X=09 Y=0C P=24 S=FF
TRACE PC=C034 OPC=8D A=00 X=DF Y=0B P=A4 S=FF
TRACE PC=C038 OPC=D0 A=00 X=B4 Y=0B P=A4 S=FF
TRACE PC=C037 OPC=CA A=00 X=8A Y=0B P=A4 S=FF
TRACE PC=C034 OPC=8D A=00 X=5F Y=0B P=24 S=FF
TRACE PC=C038 OPC=D0 A=00 X=34 Y=0B P=24 S=FF
TRACE PC=C037 OPC=CA A=00 X=0A Y=0B P=24 S=FF
TRACE PC=C037 OPC=CA A=00 X=E0 Y=0A P=A4 S=FF
TRACE PC=C034 OPC=8D A=00 X=B5 Y=0A P=A4 S=FF
TRACE PC=C038 OPC=D0 A=00 X=8A Y=0A P=A4 S=FF
TRACE PC=C037 OPC=CA A=00 X=60 Y=0A P=24 S=FF
TRACE PC=C034 OPC=8D A=00 X=35 Y=0A P=24 S=FF
TRACE PC=C038 OPC=D0 A=00 X=0A Y=0A P=24 S=FF
TRACE PC=C038 OPC=D0 A=00 X=E0 Y=09 P=A4 S=FF
TRACE PC=C037 OPC=CA A=00 X=B6 Y=09 P=A4 S=FF
TRACE PC=C034 OPC=8D A=00 X=8B Y=09 P=A4 S=FF
RUN i=5000  PC=C034 A=00 X=88 Y=09 P=A4
TRACE PC=C038 OPC=D0 A=00 X=60 Y=09 P=24 S=FF
TRACE PC=C037 OPC=CA A=00 X=36 Y=09 P=24 S=FF
TRACE PC=C034 OPC=8D A=00 X=0B Y=09 P=24 S=FF
TRACE PC=C034 OPC=8D A=00 X=E1 Y=08 P=A4 S=FF
TRACE PC=C038 OPC=D0 A=00 X=B6 Y=08 P=A4 S=FF
TRACE PC=C037 OPC=CA A=00 X=8C Y=08 P=A4 S=FF
TRACE PC=C034 OPC=8D A=00 X=61 Y=08 P=24 S=FF
TRACE PC=C038 OPC=D0 A=00 X=36 Y=08 P=24 S=FF
TRACE PC=C037 OPC=CA A=00 X=0C Y=08 P=24 S=FF
TRACE PC=C037 OPC=CA A=00 X=E2 Y=07 P=A4 S=FF
TRACE PC=C034 OPC=8D A=00 X=B7 Y=07 P=A4 S=FF
TRACE PC=C038 OPC=D0 A=00 X=8C Y=07 P=A4 S=FF
TRACE PC=C037 OPC=CA A=00 X=62 Y=07 P=24 S=FF
TRACE PC=C034 OPC=8D A=00 X=37 Y=07 P=24 S=FF
TRACE PC=C038 OPC=D0 A=00 X=0C Y=07 P=24 S=FF
TRACE PC=C038 OPC=D0 A=00 X=E2 Y=06 P=A4 S=FF
TRACE PC=C037 OPC=CA A=00 X=B8 Y=06 P=A4 S=FF
TRACE PC=C034 OPC=8D A=00 X=8D Y=06 P=A4 S=FF
TRACE PC=C038 OPC=D0 A=00 X=62 Y=06 P=24 S=FF
TRACE PC=C037 OPC=CA A=00 X=38 Y=06 P=24 S=FF
TRACE PC=C034 OPC=8D A=00 X=0D Y=06 P=24 S=FF
TRACE PC=C034 OPC=8D A=00 X=E3 Y=05 P=A4 S=FF
TRACE PC=C038 OPC=D0 A=00 X=B8 Y=05 P=A4 S=FF
TRACE PC=C037 OPC=CA A=00 X=8E Y=05 P=A4 S=FF
TRACE PC=C034 OPC=8D A=00 X=63 Y=05 P=24 S=FF
TRACE PC=C038 OPC=D0 A=00 X=38 Y=05 P=24 S=FF
TRACE PC=C037 OPC=CA A=00 X=0E Y=05 P=24 S=FF
TRACE PC=C037 OPC=CA A=00 X=E4 Y=04 P=A4 S=FF
TRACE PC=C034 OPC=8D A=00 X=B9 Y=04 P=A4 S=FF
TRACE PC=C038 OPC=D0 A=00 X=8E Y=04 P=A4 S=FF
TRACE PC=C037 OPC=CA A=00 X=64 Y=04 P=24 S=FF
TRACE PC=C034 OPC=8D A=00 X=39 Y=04 P=24 S=FF
TRACE PC=C038 OPC=D0 A=00 X=0E Y=04 P=24 S=FF
TRACE PC=C038 OPC=D0 A=00 X=E4 Y=03 P=A4 S=FF
TRACE PC=C037 OPC=CA A=00 X=BA Y=03 P=A4 S=FF
TRACE PC=C034 OPC=8D A=00 X=8F Y=03 P=A4 S=FF
TRACE PC=C038 OPC=D0 A=00 X=64 Y=03 P=24 S=FF
TRACE PC=C037 OPC=CA A=00 X=3A Y=03 P=24 S=FF
TRACE PC=C034 OPC=8D A=00 X=0F Y=03 P=24 S=FF
RUN i=10000  PC=C038 A=00 X=09 Y=03 P=24
TRACE PC=C034 OPC=8D A=00 X=E5 Y=02 P=A4 S=FF
TRACE PC=C038 OPC=D0 A=00 X=BA Y=02 P=A4 S=FF
TRACE PC=C037 OPC=CA A=00 X=90 Y=02 P=A4 S=FF
TRACE PC=C034 OPC=8D A=00 X=65 Y=02 P=24 S=FF
TRACE PC=C038 OPC=D0 A=00 X=3A Y=02 P=24 S=FF
TRACE PC=C037 OPC=CA A=00 X=10 Y=02 P=24 S=FF
TRACE PC=C037 OPC=CA A=00 X=E6 Y=01 P=A4 S=FF
TRACE PC=C034 OPC=8D A=00 X=BB Y=01 P=A4 S=FF
TRACE PC=C038 OPC=D0 A=00 X=90 Y=01 P=A4 S=FF
TRACE PC=C037 OPC=CA A=00 X=66 Y=01 P=24 S=FF
TRACE PC=C034 OPC=8D A=00 X=3B Y=01 P=24 S=FF
TRACE PC=C038 OPC=D0 A=00 X=10 Y=01 P=24 S=FF
TRACE PC=C04F OPC=E8 A=12 X=0E Y=00 P=24 S=FF
TRACE PC=C2FD OPC=8D A=20 X=1E Y=1D P=25 S=FB
TRACE PC=C301 OPC=D0 A=20 X=1D Y=13 P=25 S=FB
TRACE PC=C300 OPC=88 A=20 X=1C Y=0A P=25 S=FB
TRACE PC=C303 OPC=CA A=20 X=1B Y=00 P=27 S=FB
TRACE PC=C301 OPC=D0 A=20 X=19 Y=17 P=25 S=FB
TRACE PC=C300 OPC=88 A=20 X=18 Y=0E P=25 S=FB
TRACE PC=C2FD OPC=8D A=20 X=17 Y=04 P=25 S=FB
TRACE PC=C301 OPC=D0 A=20 X=15 Y=1B P=25 S=FB
TRACE PC=C300 OPC=88 A=20 X=14 Y=12 P=25 S=FB
TRACE PC=C2FD OPC=8D A=20 X=13 Y=08 P=25 S=FB
TRACE PC=C301 OPC=D0 A=20 X=11 Y=1F P=25 S=FB
TRACE PC=C300 OPC=88 A=20 X=10 Y=16 P=25 S=FB
TRACE PC=C2FD OPC=8D A=20 X=0F Y=0C P=25 S=FB
TRACE PC=C301 OPC=D0 A=20 X=0E Y=02 P=25 S=FB
TRACE PC=C300 OPC=88 A=20 X=0C Y=1A P=25 S=FB
TRACE PC=C2FD OPC=8D A=20 X=0B Y=10 P=25 S=FB
TRACE PC=C301 OPC=D0 A=20 X=0A Y=06 P=25 S=FB
TRACE PC=C300 OPC=88 A=20 X=08 Y=1E P=25 S=FB
TRACE PC=C2FD OPC=8D A=20 X=07 Y=14 P=25 S=FB
TRACE PC=C301 OPC=D0 A=20 X=06 Y=0A P=25 S=FB
TRACE PC=C300 OPC=88 A=20 X=05 Y=01 P=25 S=FB
TRACE PC=C2FD OPC=8D A=20 X=03 Y=18 P=25 S=FB
TRACE PC=C301 OPC=D0 A=20 X=02 Y=0E P=25 S=FB
TRACE PC=C300 OPC=88 A=20 X=01 Y=05 P=25 S=FB
TRACE PC=C2D8 OPC=A9 A=20 X=07 Y=01 P=25 S=FD
TRACE PC=C2D8 OPC=A9 A=20 X=09 Y=02 P=25 S=FD
RUN i=15000  PC=C2DA A=20 X=03 Y=02 P=25
TRACE PC=C2D8 OPC=A9 A=20 X=0B Y=03 P=25 S=FD
TRACE PC=C2D8 OPC=A9 A=20 X=0D Y=04 P=25 S=FD
TRACE PC=C2C2 OPC=C9 A=75 X=18 Y=0C P=24 S=FD
TRACE PC=C2D8 OPC=A9 A=20 X=08 Y=19 P=25 S=FD
TRACE PC=C2C6 OPC=8D A=6E X=16 Y=23 P=24 S=FD
TRACE PC=C2DA OPC=8D A=20 X=02 Y=2D P=25 S=FD
TRACE PC=C2C2 OPC=C9 A=65 X=13 Y=3A P=24 S=FD
TRACE PC=C2CF OPC=D0 A=20 X=1D Y=42 P=24 S=FD
TRACE PC=C2C0 OPC=F0 A=74 X=0F Y=50 P=24 S=FD
TRACE PC=C2BE OPC=B1 A=20 X=1C Y=5A P=24 S=FD
TRACE PC=C2C2 OPC=C9 A=74 X=0E Y=68 P=24 S=FD
TRACE PC=C2C2 OPC=C9 A=20 X=1A Y=71 P=24 S=FD
TRACE PC=C2D8 OPC=A9 A=20 X=0A Y=7E P=25 S=FD
TRACE PC=C2C9 OPC=C8 A=63 X=17 Y=87 P=24 S=FD
TRACE PC=C2CE OPC=CA A=73 X=09 Y=96 P=A4 S=FD
TRACE PC=C2C9 OPC=C8 A=6E X=17 Y=A0 P=24 S=FD
TRACE PC=C2CE OPC=CA A=74 X=09 Y=AF P=A4 S=FD
TRACE PC=C2BE OPC=B1 A=65 X=17 Y=BA P=24 S=FD
TRACE PC=C2DD OPC=CA A=20 X=08 Y=C7 P=25 S=FD
TRACE PC=C2CA OPC=D0 A=6F X=16 Y=D2 P=A4 S=FD
TRACE PC=C2DA OPC=8D A=20 X=04 Y=DD P=25 S=FD
TRACE PC=C2C4 OPC=F0 A=72 X=14 Y=E9 P=24 S=FD
TRACE PC=C2D8 OPC=A9 A=20 X=05 Y=F7 P=25 S=FD
TRACE PC=C2CA OPC=D0 A=6C X=15 Y=03 P=24 S=FD
TRACE PC=C2D8 OPC=A9 A=20 X=04 Y=0F P=25 S=FD
TRACE PC=C2C2 OPC=C9 A=61 X=14 Y=1B P=24 S=FD
TRACE PC=C2DA OPC=8D A=20 X=03 Y=27 P=25 S=FD
TRACE PC=C2CE OPC=CA A=75 X=14 Y=34 P=24 S=FD
TRACE PC=C2DD OPC=CA A=20 X=02 Y=3F P=25 S=FD
TRACE PC=C2DD OPC=CA A=20 X=04 Y=40 P=25 S=FD
TRACE PC=C2DD OPC=CA A=20 X=06 Y=41 P=25 S=FD
TRACE PC=C2C9 OPC=C8 A=3A X=15 Y=4C P=24 S=FD
TRACE PC=C2DD OPC=CA A=20 X=06 Y=5A P=25 S=FD
TRACE PC=C2C9 OPC=C8 A=3A X=15 Y=65 P=24 S=FD
TRACE PC=C2DA OPC=8D A=20 X=02 Y=70 P=25 S=FD
TRACE PC=C2C2 OPC=C9 A=49 X=13 Y=7D P=24 S=FD
TRACE PC=C2D8 OPC=A9 A=20 X=03 Y=8A P=25 S=FD
TRACE PC=C291 OPC=F0 A=00 X=20 Y=8A P=27 S=FD
TRACE PC=C291 OPC=F0 A=00 X=20 Y=8A P=27 S=FD
RUN i=20000  PC=C28F A=00 X=20 Y=8A P=27
TRACE PC=C291 OPC=F0 A=00 X=20 Y=8A P=27 S=FD
TRACE PC=C291 OPC=F0 A=00 X=20 Y=8A P=27 S=FD
TRACE PC=C291 OPC=F0 A=00 X=20 Y=8A P=27 S=FD
TRACE PC=C291 OPC=F0 A=00 X=20 Y=8A P=27 S=FD
TRACE PC=C291 OPC=F0 A=00 X=20 Y=8A P=27 S=FD
TRACE PC=C291 OPC=F0 A=00 X=20 Y=8A P=27 S=FD
TRACE PC=C291 OPC=F0 A=00 X=20 Y=8A P=27 S=FD
TRACE PC=C291 OPC=F0 A=00 X=20 Y=8A P=27 S=FD
TRACE PC=C291 OPC=F0 A=00 X=20 Y=8A P=27 S=FD
TRACE PC=C291 OPC=F0 A=00 X=20 Y=8A P=27 S=FD
TRACE PC=C291 OPC=F0 A=00 X=20 Y=8A P=27 S=FD
TRACE PC=C291 OPC=F0 A=00 X=20 Y=8A P=27 S=FD
TRACE PC=C291 OPC=F0 A=00 X=20 Y=8A P=27 S=FD
TRACE PC=C291 OPC=F0 A=00 X=20 Y=8A P=27 S=FD
TRACE PC=C291 OPC=F0 A=00 X=20 Y=8A P=27 S=FD
TRACE PC=C291 OPC=F0 A=00 X=20 Y=8A P=27 S=FD
TRACE PC=C291 OPC=F0 A=00 X=20 Y=8A P=27 S=FD
TRACE PC=C291 OPC=F0 A=00 X=20 Y=8A P=27 S=FD
TRACE PC=C291 OPC=F0 A=00 X=20 Y=8A P=27 S=FD
TRACE PC=C291 OPC=F0 A=00 X=20 Y=8A P=27 S=FD
TRACE PC=C291 OPC=F0 A=00 X=20 Y=8A P=27 S=FD
TRACE PC=C291 OPC=F0 A=00 X=20 Y=8A P=27 S=FD
TRACE PC=C291 OPC=F0 A=00 X=20 Y=8A P=27 S=FD
TRACE PC=C291 OPC=F0 A=00 X=20 Y=8A P=27 S=FD
TRACE PC=C291 OPC=F0 A=00 X=20 Y=8A P=27 S=FD
TRACE PC=C291 OPC=F0 A=00 X=20 Y=8A P=27 S=FD
TRACE PC=C291 OPC=F0 A=00 X=20 Y=8A P=27 S=FD
TRACE PC=C291 OPC=F0 A=00 X=20 Y=8A P=27 S=FD
